-70.8097 -69.1567 40.9436 41.8688 4.9842e+08 8.33634e+07 1.75467e+06 1.05237e+06 527886 91939.2 670666 2476.59 165953 1.10805e+06 3.20516e+07 1.01388e+06 285.831 3.00419e+07 43127.3 18.7392 43997.5 15084.8 1.48105e+08 169
-70.1175 -68.7398 40.934 42.9061 5.59509e+07 1.70614e+07 250857 14975.3 122348 3024.95 111762 88.6405 15150.2 186088 4.72199e+06 -nan -nan -nan -nan -nan -nan -nan 2.56435e+07 87
-70.4667 -69.23 42.1455 42.222 194471 70661.6 547.994 1515.82 0 -nan -nan 55 -nan 270 24384 374 -nan -nan -nan -nan -nan -nan 52992 131
-69.7957 -68.1602 42.1177 44.0464 9.8966e+06 3.372e+06 43075.2 81089.3 0 -nan -nan 51.4956 -nan 51053 1.64483e+06 32465 49.2768 -nan -nan -nan -nan -nan 5.21446e+06 81
-68.6866 -68.3666 40.5583 42.2001 188288 65167.6 569.671 1476.11 0 -nan -nan -nan -nan 252 20640 244 3 -nan -nan -nan -nan -nan 44451 12
-69.4701 -68.0069 40.6835 41.4367 173138 63426.4 519.72 1378.62 0 -nan -nan -nan -nan 22 20655 9 0 -nan -nan -nan -nan -nan 40493 41
-67.7597 -67.3664 40.5617 41.9538 171095 62829.9 522.766 1436.67 0 -nan -nan -nan -nan 20 20630 9 0 -nan -nan -nan -nan -nan 39486 7
-68.1806 -67.8641 40.7369 41.5842 170549 62697.5 516.093 1393.88 0 -nan -nan -nan -nan 13 20646 6 0 -nan -nan -nan -nan -nan 39321 6
-68.9949 -68.2207 41.4848 41.5252 173434 63749.6 496.23 1411.43 0 -nan -nan -nan -nan 18 20645 10 0 -nan -nan -nan -nan -nan 41141 7
-69.4294 -67.654 40.8165 42.1278 174533 64211.6 505.927 1442.82 0 -nan -nan -nan -nan 23 20661 10 0 -nan -nan -nan -nan -nan 41455 190
-68.0561 -67.6854 41.7903 42.9743 177190 65083.8 523.469 1394.69 0 -nan -nan -nan -nan 22 20641 9 0 -nan -nan -nan -nan -nan 42901 13
-70.7281 -68.7586 40.5367 41.6435 1.53206e+08 1.7759e+07 425687 7587.14 212767 12252.6 -nan -nan 51654.5 250078 1.01084e+07 254250 80.8769 8.47085e+06 12923 3.77602 12029.9 5987.09 4.52929e+07 39
-68.9745 -67.9708 40.6483 41.8664 187667 69617 294.002 1208 2 385 0 -nan 48 -nan -nan -nan -nan -nan -nan -nan -nan -nan 37273 5
-68.9278 -68.3097 40.2056 41.4684 194654 72230 345.468 1170 5 382 0 -nan 48 -nan -nan -nan -nan -nan -nan -nan -nan -nan 40635 60
-68.7206 -68.5319 40.8368 41.6858 195378 72662.9 363.231 1261 3 373 0 -nan 47 -nan -nan -nan -nan -nan -nan -nan -nan -nan 41061 6
