3436 3484 88565 88600 3.86174e+07 1.60383e+07 353402 10981 177249 7275.46 162699 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 1.14989e+07 
6020 6098 83289 83307 3.25075e+08 1.16951e+07 304433 8780.56 142744 5329.6 142036 96.022 28505.3 297933 6.27301e+06 178416 40.0726 4.73482e+06 40792.4 10.5643 40830.8 34503.6 9.59797e+07 
6150 6234 81322 81346 3.13836e+08 1.13712e+07 293965 12552 130375 4673.89 128223 353.495 34402.9 283850 4.44374e+06 178559 4.49722 6.0357e+06 38580.8 0 38429.1 35401.3 9.26877e+07 
2090 2156 81557 81657 3.59705e+08 1.24313e+07 327390 10096.2 150226 5612.57 148412 261.448 30891.4 314328 4.91962e+06 176198 39.9021 4.93944e+06 42978.9 0 42992.7 36519.9 1.06386e+08 
1307 1367 88673 88772 4.27611e+08 1.52574e+07 419868 11635.5 191056 6390.32 181290 346.681 37517.3 436711 9.00201e+06 243955 35.8448 6.04285e+06 50484.9 0 48994.1 42790.7 1.26287e+08 
1424 1500 89202 89257 4.71233e+08 1.48616e+07 400850 15928.2 208677 11869.2 218877 143.458 39646.1 388052 6.01912e+06 218366 30.4263 5.9481e+06 49985.3 0 51710.2 45625.6 1.39079e+08 
7282 7314 81466 81503 3.06447e+08 1.09462e+07 286294 8175.67 131319 4391.29 124175 90.537 24634.3 254776 6.01172e+06 175983 6.44068 5.43714e+06 36720.1 24.2257 36188.8 32276.7 9.05035e+07 
4935 4982 80922 80951 3.38612e+08 1.10331e+07 293072 12296.9 140579 4482.49 138841 100.043 28093.4 282241 4.50366e+06 186979 38.3181 6.28465e+06 38213.7 3.12549 37458.3 33756.2 1.00011e+08 
9578 9578 80957 81029 2.98566e+08 1.00285e+07 265490 7918.92 125532 4614.5 126200 88.2259 26054.6 283464 5.66199e+06 159506 6.13536 4.01635e+06 33404.8 27.1883 32926.3 29593.8 8.81928e+07 
1756 1851 88278 88341 4.5231e+08 1.42972e+07 385459 13228.6 181559 5902.75 184741 133.76 39732.2 374303 5.77472e+06 205706 200.579 5.88273e+06 50882.2 38.5938 49242.3 43834.7 1.33715e+08 
5556 5612 87686 87745 3.92698e+08 1.27454e+07 342924 10496.1 160998 5200.68 159236 116.012 32795.3 377810 7.71953e+06 216622 15.0469 5.38406e+06 43745.3 0 44449.9 39408.8 1.15974e+08 
5302 5385 84908 84963 3.71475e+08 1.21998e+07 326576 9068.72 155069 5614.78 151748 282.062 30637.2 315758 5.06248e+06 177038 37.8242 7.17463e+06 43204.8 0 41166.3 37556.4 1.09752e+08 
1880 1949 80385 80440 3.70476e+08 1.15651e+07 367992 15381.1 170514 9982.33 152673 112.794 32022.2 315407 5.01727e+06 176997 193.28 4.9377e+06 40114.4 0 40540.9 35648.3 1.09345e+08 
9489 9496 85969 86011 3.31219e+08 1.12874e+07 301190 10931.4 135677 4912.27 131940 97.8494 29140.6 294651 4.70803e+06 195879 22.3924 6.41334e+06 39651.9 0 38484 34501.4 9.7817e+07 
