-72.159 -71.3117 40.282 40.9227 194438 82817 807 1402.45 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 2 1 43792 12
-71.1978 -69.7706 41.1917 42.4102 1.33451e+09 1.92927e+08 3.95144e+06 517482 1.93112e+06 120150 1.88609e+06 24436.3 245498 3.0496e+06 7.29021e+07 2.32371e+06 519.673 7.26235e+07 111691 19.727 62221.2 43719.8 3.92274e+08 5
-71.1592 -70.2042 39.5029 41.1282 164450 59913.7 492.882 1207.44 0 -nan -nan 55 47 17 17233 -nan -nan -nan -nan -nan -nan -nan 35955 2
-73.816 -72.5449 40.5019 41.1101 1.18751e+07 4.4424e+06 38346.5 103793 0 -nan -nan 292.921 3486.51 57051 1.79302e+06 36459.3 69.2424 -nan -nan -nan -nan -nan 6.77871e+06 33
-72.3805 -71.7863 39.1685 40.9758 198223 72364.4 574.108 1567.51 0 -nan -nan -nan -nan 418 31440 379 1 -nan -nan -nan -nan -nan 56041 120
-71.166 -70.3126 39.5994 40.6963 166100 60647.2 475.429 1318.45 0 -nan -nan -nan -nan 40 17168 5 0 -nan -nan -nan -nan -nan 36184 2
-72.9578 -72.5594 41.3505 41.673 210303 77134.1 612.592 1635.97 0 -nan -nan -nan -nan 306 32089 402 0 -nan -nan -nan -nan -nan 61875 40
-71.3923 -69.4824 39.1841 40.6218 170732 60161.2 442.183 1273.8 9.85552 -nan -nan -nan -nan -nan -nan 33 0 16273 -nan -nan -nan -nan 34667 1
-72.7415 -71.9535 39.9739 40.8327 208922 76235 549.089 1505.68 0 -nan -nan -nan -nan -nan -nan 250 1 26310 -nan -nan -nan -nan 58836 19
-71.7552 -70.7537 40.3124 41.559 1.07303e+07 4.00254e+06 31947.4 82980.1 0 -nan -nan -nan -nan -nan -nan 43440.4 9 1.39797e+06 1908.23 -nan -nan -nan 6.27618e+06 118
-72.4803 -70.8769 40.2619 42.1303 5.57661e+08 7.47992e+07 1.67024e+06 17142.3 901642 15539.4 880178 128.805 98759.1 1.30158e+06 2.93435e+07 946800 164.743 3.24277e+07 91975.2 0 27363.6 14354.9 1.64782e+08 76
-71.9615 -71.865 40.3624 41.0138 252716 88105 1082 1704 6.38155 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 0 57850 34
-72.2901 -70.9799 40.834 40.9338 236722 93294 1028 1787 0 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 3 56310 24
-71.8347 -71.682 40.7775 42.2125 5.08016e+07 6.73076e+06 143713 5106 79967.2 2296.92 85815.7 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 1175.27 1.52566e+07 31
-72.0068 -71.2898 40.6551 42.3004 4.27739e+08 5.57274e+07 1.24591e+06 31442.5 622403 38599.8 611897 276.702 71131.6 980715 2.23003e+07 753767 130.336 2.36306e+07 38166.7 5.26485 20930.5 10423.3 1.26344e+08 37
-71.9609 -71.0548 39.0446 40.6676 216253 72459 703 1505.69 9.54692 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 3 1 47257 11
-73.9251 -72.5736 41.1479 42.453 4.05299e+08 6.72597e+07 1.1404e+06 35101.6 593523 17913.7 621924 116.344 73012.4 951212 2.13929e+07 723411 177.816 2.29131e+07 42009.9 0 23470.6 19899 1.2003e+08 70
-72.2304 -72.0831 39.6258 40.7658 207117 75032.2 384.886 1602.6 9.34836 -nan -nan -nan -nan -nan -nan 198 2 19148 -nan -nan -nan -nan 56206 84
-72.579 -72.1201 41.261 41.3952 434356 161497 835.031 3595.4 0 -nan -nan -nan -nan -nan -nan 937 0 54310 -nan -nan -nan -nan 187921 36
-72.3689 -70.6571 40.0512 40.9281 189727 69583.4 572.004 1625.79 0 -nan -nan -nan -nan -nan -nan 27 0 26297 -nan -nan -nan -nan 49183 19
-72.0595 -70.6378 40.3247 41.7251 1.47271e+08 2.26364e+07 492428 4310.13 229820 5240.55 223452 408.698 -nan -nan -nan 186376 284.353 9.25507e+06 19303.8 0 8354.18 4408.39 4.357e+07 44
-72.1581 -70.8896 40.848 40.9625 292492 98830.9 564.465 2093.97 382 421 378 64 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 86764 39
-72.8171 -72.2758 39.7223 41.4957 413026 151854 1676.11 2873.97 601 486 599 64 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 176524 94
-72.5871 -70.9414 39.9658 41.5617 7.26e+06 2.65624e+06 30185.4 56201.2 16258 1201 20541 68 2883.33 -nan -nan -nan -nan -nan -nan -nan -nan -nan 3.99644e+06 150
-72.2357 -71.8705 40.568 42.0622 1.08171e+07 3.91089e+06 38607.2 91467.2 0 7270.89 33309.7 71 4886 48317.7 1.07165e+06 -nan -nan -nan -nan -nan -nan -nan 6.09795e+06 110
-72.0779 -70.8 41.1062 41.66 3.99325e+07 1.50097e+07 74779.6 364451 0 -nan -nan 1281.61 17906.7 161588 4.04066e+06 129511 66.5711 3.92392e+06 7365.66 -nan -nan -nan 2.16786e+07 47
-72.869 -72.452 40.3644 41.834 368342 136374 1037.36 2984.77 0 -nan -nan -nan -nan -nan -nan -nan 0 64360 80 0 -nan -nan 156360 21
-71.9236 -71.664 40.2867 42.0991 2.9783e+07 5.68486e+06 40686.9 132343 0 -nan -nan -nan -nan -nan -nan -nan -nan 1.76409e+06 3810.04 6 1635 -nan 9.03596e+06 7
-74.0776 -72.141 39.6424 41.6267 1.39444e+08 2.45489e+07 388315 5628.83 179562 4913.26 183552 105.738 8864.44 390907 1.17143e+07 -nan -nan -nan -nan 0 16883.6 4954.48 4.14132e+07 25
-72.4774 -72.1823 41.379 42.6669 1.71593e+08 2.30538e+07 510783 7105.99 274828 6247.62 -nan 3054.73 78809 389591 1.14787e+07 298873 72.9417 1.02106e+07 15389.6 0 5986.08 4274.7 5.06959e+07 145
-72.0781 -71.1861 39.2089 41.1373 265082 99550.7 879 1328 216 413 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 67880 17
-71.335 -70.3244 40.6054 40.7143 222709 67489.6 394.891 1399 82 357 58 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 38808 2
-73.1615 -72.2941 39.8694 41.8101 5.1547e+06 1.95051e+06 10352.9 1315 10905 1060 10862 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 2.45876e+06 27
-73.5362 -72.4322 40.6026 40.9852 255213 95195.6 548.874 1261 231 449 230 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 69474 49
-72.6993 -71.9447 39.6992 41.0751 217934 80701.7 473.215 1855.85 49 440 47 65 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 56879 22
