5606 5681 67557 67583 8.38634e+06 3.09809e+06 37716.5 2814.3 91491 5059 91498 85.0718 -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 4.76901e+06 
713 786 61550 61636 2.16263e+08 1.08924e+07 206678 10168.2 89298.2 2966.56 89338.9 64.1246 18485.9 186445 3.07349e+06 107682 12.0205 2.93402e+06 22938.6 64.3225 33421.7 19920.9 6.40937e+07 
98 130 64455 64505 2.47628e+08 7.55026e+06 201260 6153.44 98217.1 4368.06 115172 289.165 25631.1 224542 3.18125e+06 115358 18.3021 3.19749e+06 27285 0 26288.6 23352.6 7.31882e+07 
9153 9197 60639 60720 1.56547e+08 5.38407e+06 142758 10309.5 66810.4 -nan 187020 380.867 18845.9 146115 2.0999e+06 76329.4 11.5758 2.08973e+06 16685.2 3.85774 17797.8 14848.4 4.62887e+07 
6221 6308 69931 70008 2.37781e+08 8.01201e+06 212953 6263.13 99856.9 3642.16 97827.8 70.3702 20287.5 198748 4.66536e+06 131625 210.727 4.56739e+06 27733.3 0 27213.1 23379.9 7.034e+07 
1901 1933 67906 67962 2.53157e+08 8.39404e+06 227135 7758.26 107414 3686.45 107320 84.358 24629.6 226978 3.5381e+06 122932 229.222 4.55248e+06 36952.3 0 27078.8 25408.8 7.49507e+07 
2986 3005 66281 66308 2.37582e+08 7.39006e+06 201173 6604.24 99115.2 4646.16 124327 310.216 28561.8 223019 3.10784e+06 109693 13.1718 3.14609e+06 26695.9 0 24400.9 23419.5 7.02378e+07 
2939 2968 65181 65281 2.27897e+08 1.22471e+07 223736 9368.19 95193.2 3168.57 95567.2 67.6991 19757.8 196847 3.07014e+06 107280 33.8383 3.17436e+06 25614.8 0 25266.7 20694.6 6.76609e+07 
6870 6965 61606 61664 1.10743e+08 4.22282e+07 247863 15490.1 87784 6640.19 74335.4 55.3613 15597 150529 2.41716e+06 85334.2 19.533 2.36493e+06 19594.8 40.8613 19598.5 -nan 5.20732e+07 
7437 7479 67070 67089 2.08596e+08 6.82899e+06 182223 6316.19 85981.5 3913.36 86243 65.6185 18957 180040 2.94611e+06 103769 429.845 5.60365e+06 24120.7 0 23628.3 20876.3 6.1731e+07 
3421 3430 67016 67058 2.1817e+08 7.08185e+06 188616 6300.7 91674.2 4592.04 93637.2 150.063 27528.6 216568 5.59667e+06 158957 20.1604 3.97418e+06 23326 0 23472.8 21795.1 6.44999e+07 
2947 2997 60960 61003 1.96559e+08 6.46815e+06 171999 6410.12 83794.8 5827.78 159239 417.467 24286.4 187456 2.68066e+06 95900.6 3.63074 2.63848e+06 21017 0 22392.8 18856.2 5.808e+07 
5561 5592 62928 62987 1.92569e+08 9.89311e+06 192557 8377.26 79681.7 2653.27 77981.1 64.245 15751.1 160998 2.57271e+06 94416.8 146.306 2.78768e+06 22232.6 11528.7 29876.1 18240 5.70782e+07 
5804 5894 63071 63128 1.9167e+08 6.27829e+06 168917 7315.54 83603.5 18898.6 110697 286.375 21862 165899 2.63662e+06 95449.1 7.08183 2.62008e+06 20985.9 0 20221.8 18366 5.66387e+07 
7590 7622 65178 65248 1.21772e+08 3.58729e+07 234800 15766.4 95981.3 7395.03 84538.4 57.3274 17478.7 166772 2.70771e+06 95005.7 14.3262 2.68755e+06 19802.9 29.0166 20750.1 -nan 5.72919e+07 
4709 4733 63258 63324 1.99721e+08 6.72202e+06 176564 6946.85 83232.3 2756.48 82455 63.4627 16851.4 169600 2.69072e+06 95746.5 215.63 2.83084e+06 23407.2 0 21955.9 19567.4 5.96902e+07 
709 795 60575 60611 2.11063e+08 6.90141e+06 183033 5567.11 89817.4 4371.11 91609.2 538.213 28815.7 209692 4.11562e+06 102618 3.89739 2.70407e+06 22257.1 0 23255.7 20630 6.23412e+07 
1781 1826 65980 66041 2.44964e+08 7.94109e+06 211513 6366.35 104044 8649.15 118338 278.476 27067.8 208705 3.36411e+06 114584 18.0891 3.29143e+06 26492 0 25796.6 23298.5 7.23399e+07 
3010 3065 69858 69941 2.63112e+08 8.47352e+06 228711 6285.4 111719 4725.87 114449 277.695 28085.3 241006 4.61905e+06 126004 4.85972 3.5617e+06 29310 0 28047.3 26891.5 7.77458e+07 
8722 8773 61877 61877 1.51725e+08 9.01191e+06 164732 8239.69 70664.1 3355.41 70502.7 49.7263 14187.2 142996 2.35635e+06 84051.7 196.581 2.43396e+06 18959.1 -nan 19881.6 13947.8 4.96952e+07 
927 1012 65068 65081 2.22794e+08 7.19103e+06 199056 6904.48 93040.1 3769.96 92984.6 65.8993 21319.8 225263 3.75337e+06 142233 293.282 5.08795e+06 28210.5 0 27066.1 21260.3 6.58679e+07 
3796 3838 61478 61498 1.66269e+08 6.02732e+06 165639 4169.18 80053.3 4481.81 78251 4294.51 -nan 343927 5.26267e+06 111325 18.9647 2.77343e+06 22713.2 3.07041 21753.7 18437.6 4.91197e+07 
9721 9769 68303 68374 1.92477e+08 6.4718e+06 173344 10209.7 128767 12417.2 109682 166.481 18124.1 173579 2.6341e+06 91727.5 0 2.5808e+06 21484 3.55116 22428.7 19510.3 5.68083e+07 
9932 9934 61836 61898 1.55233e+08 2.58492e+07 183991 10949 75605 5643.19 66644.5 48.8107 13665.2 135667 2.14514e+06 77863.3 14.3512 2.30411e+06 18902.8 295.841 -nan -nan 4.5908e+07 
4301 4397 66047 66133 1.95585e+08 7.71192e+06 203880 6249.47 95992.8 3656.1 94679.2 57.9323 20243.8 195872 3.16693e+06 106224 757.077 7.52588e+06 22651.9 3.76585 24641.5 22601.6 5.79036e+07 
4897 4924 68295 68343 2.15455e+08 1.21219e+07 219480 11140.1 94570.7 3765.75 98590.2 63.6255 21196.6 221632 3.51468e+06 118355 23.8505 3.08545e+06 24976.5 32.4462 28383.4 20283.8 6.3586e+07 
1510 1572 66650 66695 2.44463e+08 8.19926e+06 226313 4396.44 110227 8866.26 118323 378.447 25955.2 209112 3.26021e+06 116977 31.5932 3.35285e+06 28499.4 0 28164 24818.2 7.21899e+07 
5925 5975 62018 62099 1.78434e+08 6.03299e+06 159628 7910.93 76595.1 69180.8 109859 323.252 20763.4 158795 2.50409e+06 89282.6 6.58705 2.53571e+06 21426.4 0 19920 16980.3 5.26828e+07 
5391 5464 65316 65319 1.77309e+08 7.06662e+06 187307 4796.72 91816.2 4552.21 90194.7 725.746 -nan 287985 5.25789e+06 117390 37.2106 2.72839e+06 22578.3 0 23624.4 21202 5.2386e+07 
3589 3593 64411 64413 2.10601e+08 7.41976e+06 198800 7787.02 112241 11497.8 117078 283.814 23963.2 191218 2.92141e+06 104159 34.9817 2.82758e+06 25010.3 3.88633 24959.6 21527.8 6.21766e+07 
5983 6074 60054 60129 1.64499e+08 3.44181e+07 224508 12591.7 83917.1 5959.35 72715.6 118.451 18964.3 151089 2.32762e+06 81481.5 9.10944 2.36347e+06 18953.9 36.4322 -nan -nan 4.85667e+07 
9268 9292 65536 65609 1.75757e+08 6.81473e+06 176270 6594.14 79840.4 3293.91 77126.9 58.7155 16053.8 156469 2.4951e+06 84383 965.418 -nan 23166.5 0 20380.8 20110.8 5.21616e+07 
